FROM,TO,時間
310146,310816,37
310146,310687,35
310146,310763,35
310146,310801,27
310146,310802,27
310146,310806,27
310146,310887,27
310146,310525,37
310146,310224,45
310146,310888,35
310146,310730,35
310146,310733,27
310146,310905,37
310146,310226,35
310146,310605,35
310146,310844,27
310146,310893,35
310146,310693,35
310146,310734,37
310146,start,0
310146,end,0
310147,310793,37
310147,310430,45
310147,309879,37
310147,310146,37
310147,310301,37
310147,310479,45
310147,310040,37
310147,309296,37
310147,310106,37
310147,310117,37
310147,310255,27
310147,310256,27
310147,310326,37
310147,310101,45
310147,310102,45
310147,310212,37
310147,310380,22
310147,310386,60
310147,310690,37
310147,310287,45
310147,310436,37
310147,310555,35
310147,310584,37
310147,310792,45
310147,310906,37
310147,308308,45
310147,309258,37
310147,310039,37
310147,310545,27
310147,310791,45
310147,310351,37
310147,307768,45
310147,310435,45
310147,310668,45
310147,310199,37
310147,310431,37
310147,310639,27
310147,310561,45
310147,310794,37
310147,310790,37
310147,310579,37
310147,309897,37
310147,310602,37
310147,310603,37
310147,310684,37
310147,310832,37
310147,310726,37
310147,310727,37
310147,310782,37
310147,310785,45
310147,310104,45
310147,310798,37
310147,310884,27
310147,310530,37
310147,310883,37
310147,310895,37
310147,310787,45
310147,310853,37
310147,309961,45
310147,310192,45
310147,310816,27
310147,310687,45
310147,310763,45
310147,310801,37
310147,310802,37
310147,310806,37
310147,310887,37
310147,310525,27
310147,310224,35
310147,310888,45
310147,310730,45
310147,310733,37
310147,310905,27
310147,310226,45
310147,310605,45
310147,310844,37
310147,310893,45
310147,310693,45
310147,310734,27
310147,start,0
310147,end,0
310301,310793,27
310301,310430,35
310301,309879,20
310301,310146,27
310301,310147,37
310301,310479,23
310301,310040,15
310301,309296,27
310301,310106,27
310301,310117,27
310301,310255,37
310301,310256,37
310301,310326,27
310301,310101,23
310301,310102,23
310301,310212,15
310301,310380,37
310301,310386,70
310301,310690,15
310301,310287,35
310301,310436,15
310301,310555,45
310301,310584,15
310301,310792,35
310301,310906,15
310301,308308,23
310301,309258,22
310301,310039,15
310301,310545,37
310301,310791,35
310301,310351,15
310301,307768,23
310301,310435,35
310301,310668,23
310301,310199,27
310301,310431,27
310301,310639,37
310301,310561,23
310301,310794,27
310301,310790,27
310301,310579,15
310301,309897,27
310301,310602,15
310301,310603,15
310301,310684,27
310301,310832,15
310301,310726,27
310301,310727,27
310301,310782,15
310301,310785,35
310301,310104,35
310301,310798,15
310301,310884,37
310301,310530,15
310301,310883,27
310301,310895,27
310301,310787,28
310301,310853,15
310301,309961,28
310301,310192,23
310301,310816,37
310301,310687,23
310301,310763,23
310301,310801,22
310301,310802,22
310301,310806,22
310301,310887,27
310301,310525,37
310301,310224,45
310301,310888,35
310301,310730,23
310301,310733,15
310301,310905,30
310301,310226,35
310301,310605,23
310301,310844,20
310301,310893,23
310301,310693,23
310301,310734,37
310301,start,0
310301,end,0
310479,310793,35
310479,310430,27
310479,309879,28
310479,310146,35
310479,310147,45
310479,310301,23
310479,310040,23
310479,309296,35
310479,310106,35
310479,310117,35
310479,310255,45
310479,310256,45
310479,310326,35
310479,310101,15
310479,310102,15
310479,310212,23
310479,310380,45
310479,310386,62
310479,310690,23
310479,310287,27
310479,310436,23
310479,310555,37
310479,310584,23
310479,310792,27
310479,310906,23
310479,308308,15
310479,309258,30
310479,310039,23
310479,310545,45
310479,310791,27
310479,310351,23
310479,307768,15
310479,310435,27
310479,310668,15
310479,310199,35
310479,310431,35
310479,310639,45
310479,310561,15
310479,310794,35
310479,310790,35
310479,310579,23
310479,309897,35
310479,310602,23
310479,310603,23
310479,310684,35
310479,310832,23
310479,310726,35
310479,310727,35
310479,310782,23
310479,310785,27
310479,310104,27
310479,310798,23
310479,310884,45
310479,310530,23
310479,310883,35
310479,310895,35
310479,310787,20
310479,310853,23
310479,309961,20
310479,310192,15
310479,310816,45
310479,310687,15
310479,310763,15
310479,310801,30
310479,310802,30
310479,310806,30
310479,310887,35
310479,310525,45
310479,310224,37
310479,310888,27
310479,310730,15
310479,310733,23
310479,310905,38
310479,310226,27
310479,310605,15
310479,310844,28
310479,310893,15
310479,310693,15
310479,310734,45
310479,start,0
310479,end,0
310040,310793,27
310040,310430,35
310040,309879,20
310040,310146,27
310040,310147,37
310040,310301,15
310040,310479,23
310040,309296,27
310040,310106,27
310040,310117,27
310040,310255,37
310040,310256,37
310040,310326,27
310040,310101,23
310040,310102,23
310040,310212,15
310040,310380,37
310040,310386,70
310040,310690,15
310040,310287,35
310040,310436,15
310040,310555,45
310040,310584,15
310040,310792,35
310040,310906,15
310040,308308,23
310040,309258,22
310040,310039,15
310040,310545,37
310040,310791,35
310040,310351,15
310040,307768,23
310040,310435,35
310040,310668,23
310040,310199,27
310040,310431,27
310040,310639,37
310040,310561,23
310040,310794,27
310040,310790,27
310040,310579,15
310040,309897,27
310040,310602,15
310040,310603,15
310040,310684,27
310040,310832,15
310040,310726,27
310040,310727,27
310040,310782,15
310040,310785,35
310040,310104,35
310040,310798,15
310040,310884,37
310040,310530,15
310040,310883,27
310040,310895,27
310040,310787,28
310040,310853,15
310040,309961,28
310040,310192,23
310040,310816,37
310040,310687,23
310040,310763,23
310040,310801,22
310040,310802,22
310040,310806,22
310040,310887,27
310040,310525,37
310040,310224,45
310040,310888,35
310040,310730,23
310040,310733,15
310040,310905,30
310040,310226,35
310040,310605,23
310040,310844,20
310040,310893,23
310040,310693,23
310040,310734,37
310040,start,0
310040,end,0
309296,310793,22
309296,310430,35
309296,309879,27
309296,310146,27
309296,310147,37
309296,310301,27
309296,310479,35
309296,310040,27
309296,310106,27
309296,310117,27
309296,310255,37
309296,310256,37
309296,310326,27
309296,310101,35
309296,310102,35
309296,310212,27
309296,310380,37
309296,310386,70
309296,310690,27
309296,310287,35
309296,310436,27
309296,310555,45
309296,310584,27
309296,310792,35
309296,310906,27
309296,308308,35
309296,309258,27
309296,310039,27
309296,310545,37
309296,310791,35
309296,310351,27
309296,307768,35
309296,310435,35
309296,310668,35
309296,310199,27
309296,310431,27
309296,310639,37
309296,310561,35
309296,310794,27
309296,310790,27
309296,310579,27
309296,309897,27
309296,310602,27
309296,310603,27
309296,310684,27
309296,310832,27
309296,310726,27
309296,310727,27
309296,310782,27
309296,310785,35
309296,310104,35
309296,310798,27
309296,310884,37
309296,310530,27
309296,310883,27
309296,310895,27
309296,310787,35
309296,310853,27
309296,309961,35
309296,310192,35
309296,310816,37
309296,310687,35
309296,310763,35
309296,310801,27
309296,310802,27
309296,310806,27
309296,310887,27
309296,310525,37
309296,310224,45
309296,310888,35
309296,310730,35
309296,310733,27
309296,310905,37
309296,310226,35
309296,310605,35
309296,310844,27
309296,310893,35
309296,310693,35
309296,310734,37
309296,start,0
309296,end,0
310106,310793,27
310106,310430,35
310106,309879,27
310106,310146,27
310106,310147,37
310106,310301,27
310106,310479,35
310106,310040,27
310106,309296,27
310106,310117,15
310106,310255,37
310106,310256,37
310106,310326,27
310106,310101,35
310106,310102,35
310106,310212,27
310106,310380,37
310106,310386,70
310106,310690,27
310106,310287,35
310106,310436,27
310106,310555,45
310106,310584,27
310106,310792,35
310106,310906,27
310106,308308,35
310106,309258,27
310106,310039,27
310106,310545,37
310106,310791,35
310106,310351,27
310106,307768,35
310106,310435,35
310106,310668,35
310106,310199,27
310106,310431,27
310106,310639,37
310106,310561,35
310106,310794,27
310106,310790,27
310106,310579,27
310106,309897,27
310106,310602,27
310106,310603,27
310106,310684,27
310106,310832,27
310106,310726,27
310106,310727,27
310106,310782,27
310106,310785,35
310106,310104,35
310106,310798,27
310106,310884,37
310106,310530,27
310106,310883,27
310106,310895,27
310106,310787,35
310106,310853,27
310106,309961,35
310106,310192,35
310106,310816,37
310106,310687,35
310106,310763,35
310106,310801,27
310106,310802,27
310106,310806,27
310106,310887,27
310106,310525,37
310106,310224,45
310106,310888,35
310106,310730,35
310106,310733,27
310106,310905,37
310106,310226,35
310106,310605,35
310106,310844,27
310106,310893,35
310106,310693,35
310106,310734,37
310106,start,0
310106,end,0
310117,310793,27
310117,310430,35
310117,309879,27
310117,310146,27
310117,310147,37
310117,310301,27
310117,310479,35
310117,310040,27
310117,309296,27
310117,310106,15
310117,310255,37
310117,310256,37
310117,310326,27
310117,310101,35
310117,310102,35
310117,310212,27
310117,310380,37
310117,310386,70
310117,310690,27
310117,310287,35
310117,310436,27
310117,310555,45
310117,310584,27
310117,310792,35
310117,310906,27
310117,308308,35
310117,309258,27
310117,310039,27
310117,310545,37
310117,310791,35
310117,310351,27
310117,307768,35
310117,310435,35
310117,310668,35
310117,310199,27
310117,310431,27
310117,310639,37
310117,310561,35
310117,310794,27
310117,310790,27
310117,310579,27
310117,309897,27
310117,310602,27
310117,310603,27
310117,310684,27
310117,310832,27
310117,310726,27
310117,310727,27
310117,310782,27
310117,310785,35
310117,310104,35
310117,310798,27
310117,310884,37
310117,310530,27
310117,310883,27
310117,310895,27
310117,310787,35
310117,310853,27
310117,309961,35
310117,310192,35
310117,310816,37
310117,310687,35
310117,310763,35
310117,310801,27
310117,310802,27
310117,310806,27
310117,310887,27
310117,310525,37
310117,310224,45
310117,310888,35
310117,310730,35
310117,310733,27
310117,310905,37
310117,310226,35
310117,310605,35
310117,310844,27
310117,310893,35
310117,310693,35
310117,310734,37
310117,start,0
310117,end,0
310255,310793,37
310255,310430,45
310255,309879,37
310255,310146,37
310255,310147,27
310255,310301,37
310255,310479,45
310255,310040,37
310255,309296,37
310255,310106,37
310255,310117,37
310255,310256,15
310255,310326,37
310255,310101,45
310255,310102,45
310255,310212,37
310255,310380,27
310255,310386,60
310255,310690,37
310255,310287,45
310255,310436,37
310255,310555,35
310255,310584,37
310255,310792,45
310255,310906,37
310255,308308,45
310255,309258,37
310255,310039,37
310255,310545,15
310255,310791,45
310255,310351,37
310255,307768,45
310255,310435,45
310255,310668,45
310255,310199,37
310255,310431,37
310255,310639,20
310255,310561,45
310255,310794,37
310255,310790,37
310255,310579,37
310255,309897,37
310255,310602,37
310255,310603,37
310255,310684,37
310255,310832,37
310255,310726,37
310255,310727,37
310255,310782,37
310255,310785,45
310255,310104,45
310255,310798,37
310255,310884,27
310255,310530,37
310255,310883,37
310255,310895,37
310255,310787,45
310255,310853,37
310255,309961,45
310255,310192,45
310255,310816,27
310255,310687,45
310255,310763,45
310255,310801,37
310255,310802,37
310255,310806,37
310255,310887,37
310255,310525,27
310255,310224,35
310255,310888,45
310255,310730,45
310255,310733,37
310255,310905,27
310255,310226,45
310255,310605,45
310255,310844,37
310255,310893,45
310255,310693,45
310255,310734,27
310255,start,0
310255,end,0
310256,310793,37
310256,310430,45
310256,309879,37
310256,310146,37
310256,310147,27
310256,310301,37
310256,310479,45
310256,310040,37
310256,309296,37
310256,310106,37
310256,310117,37
310256,310255,15
310256,310326,37
310256,310101,45
310256,310102,45
310256,310212,37
310256,310380,27
310256,310386,60
310256,310690,37
310256,310287,45
310256,310436,37
310256,310555,35
310256,310584,37
310256,310792,45
310256,310906,37
310256,308308,45
310256,309258,37
310256,310039,37
310256,310545,15
310256,310791,45
310256,310351,37
310256,307768,45
310256,310435,45
310256,310668,45
310256,310199,37
310256,310431,37
310256,310639,20
310256,310561,45
310256,310794,37
310256,310790,37
310256,310579,37
310256,309897,37
310256,310602,37
310256,310603,37
310256,310684,37
310256,310832,37
310256,310726,37
310256,310727,37
310256,310782,37
310256,310785,45
310256,310104,45
310256,310798,37
310256,310884,27
310256,310530,37
310256,310883,37
310256,310895,37
310256,310787,45
310256,310853,37
310256,309961,45
310256,310192,45
310256,310816,27
310256,310687,45
310256,310763,45
310256,310801,37
310256,310802,37
310256,310806,37
310256,310887,37
310256,310525,27
310256,310224,35
310256,310888,45
310256,310730,45
310256,310733,37
310256,310905,27
310256,310226,45
310256,310605,45
310256,310844,37
310256,310893,45
310256,310693,45
310256,310734,27
310256,start,0
310256,end,0
310326,310793,27
310326,310430,35
310326,309879,27
310326,310146,27
310326,310147,37
310326,310301,27
310326,310479,35
310326,310040,27
310326,309296,27
310326,310106,27
310326,310117,27
310326,310255,37
310326,310256,37
310326,310101,35
310326,310102,35
310326,310212,27
310326,310380,37
310326,310386,70
310326,310690,27
310326,310287,35
310326,310436,27
310326,310555,45
310326,310584,27
310326,310792,35
310326,310906,27
310326,308308,35
310326,309258,27
310326,310039,27
310326,310545,37
310326,310791,35
310326,310351,27
310326,307768,35
310326,310435,35
310326,310668,35
310326,310199,27
310326,310431,27
310326,310639,37
310326,310561,35
310326,310794,27
310326,310790,27
310326,310579,27
310326,309897,27
310326,310602,27
310326,310603,27
310326,310684,27
310326,310832,27
310326,310726,27
310326,310727,27
310326,310782,27
310326,310785,35
310326,310104,35
310326,310798,27
310326,310884,37
310326,310530,27
310326,310883,27
310326,310895,27
310326,310787,35
310326,310853,27
310326,309961,35
310326,310192,35
310326,310816,37
310326,310687,35
310326,310763,35
310326,310801,27
310326,310802,27
310326,310806,27
310326,310887,27
310326,310525,37
310326,310224,45
310326,310888,35
310326,310730,35
310326,310733,27
310326,310905,37
310326,310226,35
310326,310605,35
310326,310844,27
310326,310893,35
310326,310693,35
310326,310734,37
310326,start,0
310326,end,0
310101,310793,35
310101,310430,27
310101,309879,28
310101,310146,35
310101,310147,45
310101,310301,23
310101,310479,15
310101,310040,23
310101,309296,35
310101,310106,35
310101,310117,35
310101,310255,45
310101,310256,45
310101,310326,35
310101,310102,15
310101,310212,23
310101,310380,45
310101,310386,62
310101,310690,23
310101,310287,27
310101,310436,23
310101,310555,37
310101,310584,23
310101,310792,27
310101,310906,23
310101,308308,15
310101,309258,30
310101,310039,23
310101,310545,45
310101,310791,27
310101,310351,23
310101,307768,15
310101,310435,27
310101,310668,15
310101,310199,35
310101,310431,35
310101,310639,45
310101,310561,15
310101,310794,35
310101,310790,35
310101,310579,23
310101,309897,35
310101,310602,23
310101,310603,23
310101,310684,35
310101,310832,23
310101,310726,35
310101,310727,35
310101,310782,23
310101,310785,27
310101,310104,27
310101,310798,23
310101,310884,45
310101,310530,23
310101,310883,35
310101,310895,35
310101,310787,20
310101,310853,23
310101,309961,20
310101,310192,15
310101,310816,45
310101,310687,15
310101,310763,15
310101,310801,30
310101,310802,30
310101,310806,30
310101,310887,35
310101,310525,45
310101,310224,37
310101,310888,27
310101,310730,15
310101,310733,23
310101,310905,38
310101,310226,27
310101,310605,15
310101,310844,28
310101,310893,15
310101,310693,15
310101,310734,45
310101,start,0
310101,end,0
310102,310793,35
310102,310430,27
310102,309879,28
310102,310146,35
310102,310147,45
310102,310301,23
310102,310479,15
310102,310040,23
310102,309296,35
310102,310106,35
310102,310117,35
310102,310255,45
310102,310256,45
310102,310326,35
310102,310101,15
310102,310212,23
310102,310380,45
310102,310386,62
310102,310690,23
310102,310287,27
310102,310436,23
310102,310555,37
310102,310584,23
310102,310792,27
310102,310906,23
310102,308308,15
310102,309258,30
310102,310039,23
310102,310545,45
310102,310791,27
310102,310351,23
310102,307768,15
310102,310435,27
310102,310668,15
310102,310199,35
310102,310431,35
310102,310639,45
310102,310561,15
310102,310794,35
310102,310790,35
310102,310579,23
310102,309897,35
310102,310602,23
310102,310603,23
310102,310684,35
310102,310832,23
310102,310726,35
310102,310727,35
310102,310782,23
310102,310785,27
310102,310104,27
310102,310798,23
310102,310884,45
310102,310530,23
310102,310883,35
310102,310895,35
310102,310787,20
310102,310853,23
310102,309961,20
310102,310192,15
310102,310816,45
310102,310687,15
310102,310763,15
310102,310801,30
310102,310802,30
310102,310806,30
310102,310887,35
310102,310525,45
310102,310224,37
310102,310888,27
310102,310730,15
310102,310733,23
310102,310905,38
310102,310226,27
310102,310605,15
310102,310844,28
310102,310893,15
310102,310693,15
310102,310734,45
310102,start,0
310102,end,0
310212,310793,27
310212,310430,35
310212,309879,20
310212,310146,27
310212,310147,37
310212,310301,15
310212,310479,23
310212,310040,15
310212,309296,27
310212,310106,27
310212,310117,27
310212,310255,37
310212,310256,37
310212,310326,27
310212,310101,23
310212,310102,23
310212,310380,37
310212,310386,70
310212,310690,15
310212,310287,35
310212,310436,15
310212,310555,45
310212,310584,15
310212,310792,35
310212,310906,15
310212,308308,23
310212,309258,22
310212,310039,15
310212,310545,37
310212,310791,35
310212,310351,15
310212,307768,23
310212,310435,35
310212,310668,23
310212,310199,27
310212,310431,27
310212,310639,37
310212,310561,23
310212,310794,27
310212,310790,27
310212,310579,15
310212,309897,27
310212,310602,15
310212,310603,15
310212,310684,27
310212,310832,15
310212,310726,27
310212,310727,27
310212,310782,15
310212,310785,35
310212,310104,35
310212,310798,15
310212,310884,37
310212,310530,15
310212,310883,27
310212,310895,27
310212,310787,28
310212,310853,15
310212,309961,28
310212,310192,23
310212,310816,37
310212,310687,23
310212,310763,23
310212,310801,22
310212,310802,22
310212,310806,22
310212,310887,27
310212,310525,37
310212,310224,45
310212,310888,35
310212,310730,23
310212,310733,15
310212,310905,30
310212,310226,35
310212,310605,23
310212,310844,20
310212,310893,23
310212,310693,23
310212,310734,37
310212,start,0
310212,end,0
310380,310793,37
310380,310430,45
310380,309879,37
310380,310146,37
310380,310147,22
310380,310301,37
310380,310479,45
310380,310040,37
310380,309296,37
310380,310106,37
310380,310117,37
310380,310255,27
310380,310256,27
310380,310326,37
310380,310101,45
310380,310102,45
310380,310212,37
310380,310386,60
310380,310690,37
310380,310287,45
310380,310436,37
310380,310555,35
310380,310584,37
310380,310792,45
310380,310906,37
310380,308308,45
310380,309258,37
310380,310039,37
310380,310545,27
310380,310791,45
310380,310351,37
310380,307768,45
310380,310435,45
310380,310668,45
310380,310199,37
310380,310431,37
310380,310639,27
310380,310561,45
310380,310794,37
310380,310790,37
310380,310579,37
310380,309897,37
310380,310602,37
310380,310603,37
310380,310684,37
310380,310832,37
310380,310726,37
310380,310727,37
310380,310782,37
310380,310785,38
310380,310104,45
310380,310798,37
310380,310884,27
310380,310530,37
310380,310883,37
310380,310895,37
310380,310787,45
310380,310853,37
310380,309961,45
310380,310192,45
310380,310816,27
310380,310687,45
310380,310763,45
310380,310801,37
310380,310802,37
310380,310806,37
310380,310887,37
310380,310525,27
310380,310224,35
310380,310888,45
310380,310730,45
310380,310733,37
310380,310905,27
310380,310226,45
310380,310605,45
310380,310844,37
310380,310893,45
310380,310693,45
310380,310734,27
310380,start,0
310380,end,0
310386,310793,70
310386,310430,62
310386,309879,70
310386,310146,70
310386,310147,60
310386,310301,70
310386,310479,62
310386,310040,70
310386,309296,70
310386,310106,70
310386,310117,70
310386,310255,60
310386,310256,60
310386,310326,70
310386,310101,62
310386,310102,62
310386,310212,70
310386,310380,60
310386,310690,70
310386,310287,62
310386,310436,70
310386,310555,52
310386,310584,70
310386,310792,62
310386,310906,70
310386,308308,62
310386,309258,70
310386,310039,70
310386,310545,60
310386,310791,62
310386,310351,70
310386,307768,62
310386,310435,62
310386,310668,62
310386,310199,70
310386,310431,70
310386,310639,60
310386,310561,62
310386,310794,70
310386,310790,70
310386,310579,70
310386,309897,70
310386,310602,70
310386,310603,70
310386,310684,70
310386,310832,70
310386,310726,70
310386,310727,70
310386,310782,70
310386,310785,62
310386,310104,62
310386,310798,70
310386,310884,60
310386,310530,70
310386,310883,70
310386,310895,70
310386,310787,62
310386,310853,70
310386,309961,62
310386,310192,62
310386,310816,60
310386,310687,62
310386,310763,62
310386,310801,70
310386,310802,70
310386,310806,70
310386,310887,70
310386,310525,60
310386,310224,52
310386,310888,62
310386,310730,62
310386,310733,70
310386,310905,60
310386,310226,62
310386,310605,62
310386,310844,70
310386,310893,62
310386,310693,62
310386,310734,60
310386,start,0
310386,end,0
310690,310793,27
310690,310430,35
310690,309879,20
310690,310146,27
310690,310147,37
310690,310301,15
310690,310479,23
310690,310040,15
310690,309296,27
310690,310106,27
310690,310117,27
310690,310255,37
310690,310256,37
310690,310326,27
310690,310101,23
310690,310102,23
310690,310212,15
310690,310380,37
310690,310386,70
310690,310287,35
310690,310436,15
310690,310555,45
310690,310584,15
310690,310792,35
310690,310906,15
310690,308308,23
310690,309258,22
310690,310039,15
310690,310545,37
310690,310791,35
310690,310351,15
310690,307768,23
310690,310435,35
310690,310668,23
310690,310199,27
310690,310431,27
310690,310639,37
310690,310561,23
310690,310794,27
310690,310790,27
310690,310579,15
310690,309897,27
310690,310602,15
310690,310603,15
310690,310684,27
310690,310832,15
310690,310726,27
310690,310727,27
310690,310782,15
310690,310785,35
310690,310104,35
310690,310798,15
310690,310884,37
310690,310530,15
310690,310883,27
310690,310895,27
310690,310787,28
310690,310853,15
310690,309961,28
310690,310192,23
310690,310816,37
310690,310687,23
310690,310763,23
310690,310801,22
310690,310802,22
310690,310806,22
310690,310887,27
310690,310525,37
310690,310224,45
310690,310888,35
310690,310730,23
310690,310733,15
310690,310905,30
310690,310226,35
310690,310605,23
310690,310844,20
310690,310893,23
310690,310693,23
310690,310734,37
310690,start,0
310690,end,0
310287,310793,35
310287,310430,27
310287,309879,35
310287,310146,35
310287,310147,45
310287,310301,35
310287,310479,27
310287,310040,35
310287,309296,35
310287,310106,35
310287,310117,35
310287,310255,45
310287,310256,45
310287,310326,35
310287,310101,27
310287,310102,27
310287,310212,35
310287,310380,45
310287,310386,62
310287,310690,35
310287,310436,35
310287,310555,37
310287,310584,35
310287,310792,20
310287,310906,35
310287,308308,27
310287,309258,35
310287,310039,35
310287,310545,45
310287,310791,27
310287,310351,35
310287,307768,27
310287,310435,27
310287,310668,27
310287,310199,35
310287,310431,35
310287,310639,45
310287,310561,27
310287,310794,30
310287,310790,23
310287,310579,35
310287,309897,35
310287,310602,35
310287,310603,35
310287,310684,35
310287,310832,35
310287,310726,35
310287,310727,35
310287,310782,35
310287,310785,27
310287,310104,27
310287,310798,35
310287,310884,45
310287,310530,35
310287,310883,35
310287,310895,35
310287,310787,27
310287,310853,35
310287,309961,27
310287,310192,27
310287,310816,45
310287,310687,27
310287,310763,27
310287,310801,35
310287,310802,35
310287,310806,35
310287,310887,35
310287,310525,45
310287,310224,37
310287,310888,27
310287,310730,27
310287,310733,35
310287,310905,45
310287,310226,20
310287,310605,27
310287,310844,35
310287,310893,27
310287,310693,27
310287,310734,45
310287,start,0
310287,end,0
310436,310793,27
310436,310430,35
310436,309879,20
310436,310146,27
310436,310147,37
310436,310301,15
310436,310479,23
310436,310040,15
310436,309296,27
310436,310106,27
310436,310117,27
310436,310255,37
310436,310256,37
310436,310326,27
310436,310101,23
310436,310102,23
310436,310212,15
310436,310380,37
310436,310386,70
310436,310690,15
310436,310287,35
310436,310555,45
310436,310584,15
310436,310792,35
310436,310906,15
310436,308308,23
310436,309258,22
310436,310039,15
310436,310545,37
310436,310791,35
310436,310351,15
310436,307768,23
310436,310435,35
310436,310668,23
310436,310199,27
310436,310431,27
310436,310639,37
310436,310561,23
310436,310794,27
310436,310790,27
310436,310579,15
310436,309897,27
310436,310602,15
310436,310603,15
310436,310684,27
310436,310832,15
310436,310726,27
310436,310727,27
310436,310782,15
310436,310785,35
310436,310104,35
